text,category
"Apple releases new iPhone with AI chip",Technology
"Google announces new AI model Gemini",Technology
"Microsoft acquires gaming studio",Technology
"Tesla unveils new electric car model",Technology
"OpenAI launches GPT-5 with reasoning",Technology
"Samsung releases foldable phone",Technology
"Meta introduces VR headset",Technology
"Amazon Web Services launches new cloud service",Technology
"NVIDIA breaks records with new GPU",Technology
"SpaceX launches reusable rocket successfully",Technology
"Intel unveils next-gen processor",Technology
"Cybersecurity breach affects millions",Technology
"New programming language gains popularity",Technology
"Quantum computing milestone achieved",Technology
"Robot performs surgery autonomously",Technology
"Stock market crashes amid recession fears",Business
"Federal Reserve raises interest rates",Business
"Bitcoin price surges past new high",Business
"Amazon reports record quarterly earnings",Business
"Startup raises billion dollar funding",Business
"Oil prices drop amid global tensions",Business
"Housing market faces slowdown",Business
"Inflation reaches decade high",Business
"Trade war tensions escalate between nations",Business
"New IPO breaks Wall Street records",Business
"Unemployment rate drops to historic low",Business
"Cryptocurrency regulation proposed",Business
"Global supply chain disruptions continue",Business
"Major bank announces massive layoffs",Business
"Venture capital investment hits new peak",Business
"Football team wins championship title",Sports
"NBA finals draw record viewership",Sports
"Olympics committee announces host city",Sports
"Tennis star wins Grand Slam tournament",Sports
"Cricket world cup final breaks records",Sports
"FIFA announces new tournament format",Sports
"Boxing champion defends title",Sports
"Formula 1 driver wins world championship",Sports
"Golf major tournament results announced",Sports
"Swimming world record broken at games",Sports
"Basketball player signs historic contract",Sports
"Soccer club transfers star player",Sports
"Rugby world cup upsets favorites",Sports
"Marathon runner sets new record time",Sports
"Baseball team wins World Series",Sports
"New government policy on healthcare announced",Politics
"President signs new climate legislation",Politics
"Election results show major upset",Politics
"Supreme Court makes landmark ruling",Politics
"International summit addresses global warming",Politics
"Immigration reform bill introduced",Politics
"Political scandal rocks government",Politics
"New sanctions imposed on foreign nation",Politics
"Diplomatic relations restored between countries",Politics
"Tax reform proposal faces opposition",Politics
"Military conflict escalates in region",Politics
"Peace negotiations reach breakthrough",Politics
"Political leader resigns amid controversy",Politics
"Voter turnout reaches historic levels",Politics
"Constitutional amendment proposed",Politics
"New study reveals health benefits of exercise",Health
"COVID variant detected in multiple countries",Health
"Breakthrough cancer treatment approved",Health
"Mental health awareness campaign launches",Health
"Vaccine distribution reaches milestone",Health
"Hospital workers face burnout crisis",Health
"WHO issues new health guidelines",Health
"Obesity rates climbing in developed nations",Health
"New drug shows promise for rare disease",Health
"Air pollution linked to health problems",Health
"Scientists discover high protein high fiber diet benefits",Health
"Pandemic preparedness plan updated",Health
"Box office hit breaks opening weekend records",Entertainment
"Music festival announces star-studded lineup",Entertainment
"Award-winning film streaming online now",Entertainment
"Celebrity couple announces breakup",Entertainment
"New TV series becomes viral sensation",Entertainment
"Gaming industry revenue surpasses movies",Entertainment
"Famous author releases bestselling novel",Entertainment
"Concert tour sells out in minutes",Entertainment
"Streaming platform gains millions subscribers",Entertainment
"Animated movie wins multiple awards",Entertainment
"Climate change report warns of dire future",Science
"NASA discovers potentially habitable planet",Science
"Archaeological dig reveals ancient civilization",Science
"New species discovered in deep ocean",Science
"Earthquake prediction technology advances",Science
"Genetic editing breakthrough announced",Science
"Space telescope captures stunning images",Science
"Renewable energy capacity doubles globally",Science
"Artificial intelligence predicts weather patterns",Science
"Volcano eruption triggers evacuation",Science
"Flooding displaces thousands in region",Education
"University announces free tuition program",Education
"Online learning platform sees surge in users",Education
"Student loan forgiveness program expanded",Education
"New curriculum focuses on STEM education",Education
"Teachers union demands better working conditions",Education
"Scholarship program benefits underprivileged students",Education
